"id"	"科名"	"品种名称"	"株精麻重"	"炭疽病"	"根结线虫病"	"中茎色"	"纤维亩产"	"株鲜茎重"	"保存单位"	"省"	"开花期"	"播种期"	"收种期"	"统一编号"	"出苗期"	"学名"	"花萼色"	"种千粒重"	"原麻亩产"	"花冠色"	"拉力"	"茎粗"	"现蕾期"	"属名"	"株原麻重"	"库编号"	"株干皮重"	"苗茎色"	"原产地"	"叶色"	"支数"	"花喉色"	"鲜皮厚"	"全生育天数"	"后茎色"	"干皮精麻率"	"株鲜皮重"	"备注"	"纤维收获期"	"叶柄色"	"译名"	"生长天数"	"种子来源"	"精麻亩产"	"花冠大小"	"株高"	"鲜茎干皮率"	"叶型"
"1"	"Malvaceae(棉葵科)"	"南选"	"28.0"	"中"	"感"	"绿"	"--"	"438.0"	"广西经作所"	"广西"	"9 月下旬"	"04/01/88"	"10月下旬"	"00000001"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.5"	"420.0"	"黄"	"43.9"	"1.60"	"8 月下旬"	"Hibiscus(木槿属)"	"48"	"I3F00001"	"--"	"绿"	"广西"	"绿"	"271.0"	"红"	"1.50"	"210"	"绿"	"58.3"	"197.0"	"--"	"9 月上旬"	"绿"	"Nan Xuan"	"153"	"广西"	"220"	"大"	"400"	"11.0"	"裂"
"2"	"Malvaceae(棉葵科)"	"宁选"	"36.0"	"感"	"感"	"绿"	"--"	"573.0"	"广西经作所"	"广西"	"9 月中旬"	"04/01/88"	"10月下旬"	"00000002"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.4"	"400.0"	"黄"	"41.4"	"1.60"	"8 月下旬"	"Hibiscus(木槿属)"	"63"	"I3F00065"	"--"	"绿"	"广西"	"绿"	"270.0"	"红"	"1.40"	"200"	"绿"	"57.1"	"240.0"	"--"	"9 月上旬"	"绿"	"Ning Xuan"	"153"	"广西"	"212"	"中"	"380"	"11.0"	"裂"
"3"	"Malvaceae(棉葵科)"	"广西红皮"	"25.0"	"感"	"感"	"红"	"--"	"403.0"	"广西经作所"	"广西"	"8 月下旬"	"04/01/88"	"10月上旬"	"00000003"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"红"	"27.8"	"325.0"	"黄"	"40.4"	"1.50"	"8 月中旬"	"Hibiscus(木槿属)"	"43"	"I3F00066"	"--"	"红"	"广西"	"绿"	"282.0"	"红"	"0.95"	"185"	"红"	"58.1"	"173.0"	"--"	"9 月上旬"	"浅红"	"Guangxi hongpi"	"153"	"广西"	"162"	"中"	"370"	"10.7"	"裂"
"4"	"Malvaceae(棉葵科)"	"马红全叶"	"25.0"	"感"	"感"	"绿"	"--"	"390.0"	"广西经作所"	"广西"	"8 月下旬"	"04/01/88"	"10月上旬"	"00000004"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"27.5"	"400.0"	"黄"	"45.1"	"2.30"	"8 月中旬"	"Hibiscus(木槿属)"	"41"	"I3F00067"	"--"	"绿"	"广西"	"绿"	"282.0"	"红"	"1.04"	"185"	"淡红"	"61.0"	"153.0"	"--"	"9 月上旬"	"绿"	"Mahong quanyie"	"153"	"广西"	"215"	"中"	"400"	"10.5"	"全"
"5"	"Malvaceae(棉葵科)"	"马红裂叶"	"29.0"	"感"	"感"	"绿"	"--"	"455.0"	"广西经作所"	"广西"	"8 月下旬"	"04/01/88"	"10月上旬"	"00000005"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.0"	"399.0"	"黄"	"42.5"	"1.60"	"8 月中旬"	"Hibiscus(木槿属)"	"48"	"I3F00002"	"--"	"绿"	"广西"	"绿"	"278.0"	"红"	"1.28"	"185"	"淡红"	"60.4"	"194.0"	"--"	"9 月上旬"	"绿"	"Mahong lieyie"	"153"	"广西"	"200"	"中"	"380"	"10.5"	"裂"
"6"	"Malvaceae(棉葵科)"	"7360A"	"--"	"感"	"感"	"绿"	"--"	"--"	"广西经作所"	"广西"	"5 月下旬"	"04/01/88"	"6 月下旬"	"00000006"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"25.0"	"--"	"黄"	"--"	"0.80"	"5 月中旬"	"Hibiscus(木槿属)"	"--"	"I3F00068"	"--"	"绿"	"广西"	"绿"	"--"	"红"	"0.64"	"86"	"绿"	"--"	"--"	"--"	"5 月上旬"	"绿"	"7360A"	"50"	"广西"	"--"	"小"	"150"	"--"	"裂"
"7"	"Malvaceae(棉葵科)"	"新安无刺"	"34.0"	"中"	"感"	"绿"	"--"	"525.0"	"广东经作所"	"广东"	"10月中旬"	"04/01/88"	"11月中旬"	"00000007"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"24.3"	"400.0"	"黄"	"50.0"	"1.50"	"9 月下旬"	"Hibiscus(木槿属)"	"55"	"I3F00003"	"--"	"绿"	"广东"	"绿"	"259.0"	"红"	"1.00"	"230"	"绿"	"61.8"	"230.0"	"--"	"9 月上旬"	"绿"	"Xin An wuci"	"153"	"广东"	"220"	"大"	"380"	"10.5"	"裂"
"8"	"Malvaceae(棉葵科)"	"来阳红麻"	"30.0"	"中"	"感"	"绿"	"--"	"460.0"	"广东经作所"	"广东"	"10月上旬"	"04/01/88"	"11月上旬"	"00000008"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"29.3"	"400.0"	"黄"	"41.5"	"1.90"	"9 月下旬"	"Hibiscus(木槿属)"	"50"	"I3F00004"	"--"	"绿"	"广东"	"绿"	"267.0"	"红"	"1.33"	"220"	"绿"	"60.0"	"188.0"	"--"	"9 月上旬"	"绿"	"Laiyang hongma"	"153"	"广东"	"220"	"大"	"380"	"10.9"	"裂"
"9"	"Malvaceae(棉葵科)"	"非州裂叶"	"25.0"	"中"	"感"	"绿"	"--"	"405.0"	"广东经作所"	"广东"	"10月上旬"	"04/01/88"	"11月上旬"	"00000009"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"28.9"	"400.0"	"黄"	"41.0"	"1.90"	"9 月下旬"	"Hibiscus(木槿属)"	"45"	"I3F00069"	"--"	"绿"	"广东"	"绿"	"281.0"	"红"	"1.25"	"220"	"绿"	"55.6"	"170.0"	"--"	"9 月上旬"	"绿"	"Feizhou lieyie"	"153"	"广东"	"220"	"大"	"380"	"11.1"	"裂"
"10"	"Malvaceae(棉葵科)"	"惠阳红麻"	"28.0"	"感"	"感"	"绿"	"--"	"445.0"	"广西广东经作所"	"广东"	"8 月下旬"	"04/01/88"	"9 月下旬"	"00000010"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"29.6"	"400.0"	"黄"	"41.0"	"1.90"	"8 月上旬"	"Hibiscus(木槿属)"	"46"	"I3F00005"	"--"	"绿"	"广东"	"绿"	"265.0"	"红"	"1.20"	"178"	"淡红"	"60.9"	"185.0"	"--"	"9 月上旬"	"绿"	"Huiyang hongma"	"153"	"广东"	"216"	"中"	"380"	"10.3"	"裂"
"11"	"Malvaceae(棉葵科)"	"新会红麻"	"31.0"	"感"	"感"	"绿"	"--"	"463.0"	"广西广东经作所"	"广东"	"8 月下旬"	"04/01/88"	"9 月下旬"	"00000011"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"29.0"	"368.0"	"黄"	"49.7"	"1.90"	"8 月上旬"	"Hibiscus(木槿属)"	"49"	"I3F00006"	"--"	"绿"	"广东"	"绿"	"270.0"	"红"	"1.37"	"180"	"淡红"	"63.3"	"213.0"	"--"	"9 月上旬"	"绿"	"Xinhui hongma"	"153"	"广东"	"184"	"中"	"370"	"10.6"	"裂"
"12"	"Malvaceae(棉葵科)"	"揭阳红麻"	"24.0"	"感"	"感"	"绿"	"--"	"378.0"	"广西广东经作所"	"广东"	"8 月下旬"	"04/01/88"	"9 月下旬"	"00000012"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"28.4"	"380.0"	"黄"	"50.2"	"1.80"	"8 月上旬"	"Hibiscus(木槿属)"	"40"	"I3F00007"	"--"	"绿"	"广东"	"绿"	"282.0"	"红"	"1.30"	"180"	"淡红"	"60.0"	"160.0"	"--"	"9 月上旬"	"绿"	"Yieyang hongma"	"153"	"广东"	"190"	"中"	"380"	"10.6"	"裂"
"13"	"Malvaceae(棉葵科)"	"博罗全叶"	"25.0"	"感"	"感"	"绿"	"--"	"413.0"	"广西广东经作所"	"广东"	"8 月下旬"	"04/01/88"	"9 月下旬"	"00000013"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.0"	"310.0"	"黄"	"47.2"	"1.50"	"8 月上旬"	"Hibiscus(木槿属)"	"44"	"I3F00070"	"--"	"绿"	"广东"	"绿"	"275.0"	"红"	"1.15"	"180"	"淡红"	"56.8"	"168.0"	"--"	"9 月上旬"	"绿"	"Poluo quanyie"	"153"	"广东"	"155"	"中"	"350"	"10.7"	"全"
"14"	"Malvaceae(棉葵科)"	"海宁红麻"	"28.0"	"感"	"感"	"红"	"--"	"440.0"	"广西广东经作所"	"浙江"	"8 月下旬"	"04/01/88"	"10月上旬"	"00000014"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"29.3"	"400.0"	"黄"	"50.7"	"1.50"	"8 月中旬"	"Hibiscus(木槿属)"	"46"	"I3F00008"	"--"	"红"	"浙江"	"绿"	"261.0"	"红"	"1.00"	"190"	"红"	"60.9"	"175.0"	"--"	"9 月上旬"	"绿"	"Haining hongma"	"153"	"浙江"	"203"	"中"	"380"	"10.5"	"裂"
"15"	"Malvaceae(棉葵科)"	"台湾红麻"	"20.0"	"感"	"感"	"绿"	"--"	"319.0"	"广西广东经作所"	"台湾"	"8 月下旬"	"04/01/88"	"9 月下旬"	"00000015"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"27.0"	"287.0"	"黄"	"42.1"	"1.60"	"8 月上旬"	"Hibiscus(木槿属)"	"32"	"I3F00009"	"--"	"绿"	"台湾"	"绿"	"296.0"	"红"	"1.15"	"178"	"淡红"	"62.5"	"143.0"	"--"	"9 月上旬"	"绿"	"Taiwan hongma"	"153"	"台湾"	"144"	"中"	"370"	"10.0"	"裂"
"16"	"Malvaceae(棉葵科)"	"台A紫"	"11.0"	"感"	"感"	"红"	"--"	"174.0"	"辽宁经作所"	"台湾"	"8 月上旬"	"05/15/88"	"9 月下旬"	"00000016"	"05/20/88"	"Hibiscus cannabinus L.(红麻)"	"红"	"24.0"	"250.0"	"黄"	"33.0"	"1.40"	"7 月中旬"	"Hibiscus(木槿属)"	"19"	"I3F00222"	"--"	"红"	"台湾"	"绿"	"255.0"	"紫红"	"1.09"	"135"	"红"	"57.9"	"70.0"	"--"	"8 月下旬"	"红"	"Tai A zi"	"100"	"吉林"	"125"	"小"	"310"	"10.9"	"裂"
"17"	"Malvaceae(棉葵科)"	"韶安红麻"	"25.0"	"感"	"感"	"淡红"	"--"	"430.0"	"福建蔗麻所"	"福建"	"10月中旬"	"04/01/88"	"11月下旬"	"00000017"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"25.8"	"400.0"	"黄"	"46.6"	"1.50"	"8 月下旬"	"Hibiscus(木槿属)"	"45"	"I3F00305"	"--"	"绿"	"福建"	"绿"	"292.0"	"红"	"1.30"	"240"	"绿"	"55.6"	"183.0"	"--"	"9 月上旬"	"绿"	"Shaoan hongma"	"153"	"福建"	"200"	"中"	"380"	"10.5"	"裂"
"18"	"Malvaceae(棉葵科)"	"湘红一号"	"23.0"	"中"	"感"	"绿"	"--"	"371.0"	"中国农科院麻类所"	"湖南"	"9 月下旬"	"04/26/89"	"11月中旬"	"00000018"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.0"	"400.0"	"黄"	"50.4"	"1.70"	"8 月下旬"	"Hibiscus(木槿属)"	"38"	"I3F00010"	"--"	"绿"	"湖南"	"绿"	"286.0"	"红"	"1.20"	"210"	"绿"	"60.5"	"152.0"	"--"	"9 月下旬"	"绿"	"Xianghong yihao"	"155"	"湖南"	"200"	"大"	"380"	"10.2"	"裂"
"19"	"Malvaceae(棉葵科)"	"湘红二号"	"22.0"	"中"	"感"	"淡红"	"--"	"349.0"	"中国农科院麻类所"	"湖南"	"9 月中旬"	"04/26/88"	"10月下旬"	"00000019"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"30.1"	"380.0"	"黄"	"45.1"	"1.80"	"8 月中旬"	"Hibiscus(木槿属)"	"34"	"I3F00071"	"--"	"淡红"	"湖南"	"绿"	"274.0"	"红"	"1.25"	"190"	"红"	"64.7"	"136.0"	"--"	"9 月下旬"	"浅红"	"Xianghong erhao"	"155"	"湖南"	"200"	"中"	"370"	"9.7"	"全"
"20"	"Malvaceae(棉葵科)"	"722"	"23.0"	"抗"	"感"	"绿"	"--"	"354.0"	"中国农科院麻类所"	"湖南"	"10月中旬"	"04/26/88"	"11月下旬"	"00000020"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"25.0"	"420.0"	"黄"	"48.7"	"1.80"	"9 月中旬"	"Hibiscus(木槿属)"	"35"	"I3F00011"	"--"	"绿"	"湖南"	"深绿"	"288.0"	"红"	"1.25"	"220"	"绿"	"65.7"	"142.0"	"--"	"10月上旬"	"绿"	"722"	"155"	"湖南"	"220"	"中"	"400"	"9.9"	"全"
"21"	"Malvaceae(棉葵科)"	"青皮三号"	"16.0"	"中"	"感"	"绿"	"--"	"256.0"	"中国农科院麻类所"	"国外"	"10月中旬"	"04/26/88"	"11月下旬"	"00000056"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"27.2"	"380.0"	"黄"	"45.0"	"1.70"	"9 月中旬"	"Hibiscus(木槿属)"	"25"	"I3F00075"	"--"	"绿"	"VNM"	"绿"	"264.0"	"红"	"1.36"	"230"	"绿"	"64.0"	"80.0"	"--"	"10月上旬"	"绿"	"Qingpi 3 hao"	"155"	"VNM"	"180"	"大"	"370"	"9.8"	"裂"
"22"	"Malvaceae(棉葵科)"	"青皮一号"	"20.0"	"感"	"感"	"绿"	"--"	"390.0"	"广西广东经作所"	"国外"	"10月中旬"	"04/01/88"	"11月下旬"	"00000057"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.8"	"350.0"	"黄"	"37.3"	"1.60"	"9 月下旬"	"Hibiscus(木槿属)"	"35"	"I3F00224"	"--"	"绿"	"VNM"	"绿"	"245.0"	"红"	"1.10"	"240"	"绿"	"57.1"	"158.0"	"--"	"9 月上旬"	"绿"	"Qingpi 1 hao"	"153"	"VNM"	"230"	"--"	"370"	"9.0"	"全"
"23"	"Malvaceae(棉葵科)"	"印度11号"	"24.0"	"中"	"感"	"红"	"--"	"395.0"	"广西广东经作所"	"国外"	"8 月中旬"	"04/01/88"	"9 月下旬"	"00000058"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"27.9"	"297.0"	"黄"	"41.0"	"1.70"	"8 月上旬"	"Hibiscus(木槿属)"	"43"	"I3F00022"	"--"	"淡红"	"IND"	"绿"	"272.0"	"红"	"1.46"	"170"	"红"	"55.8"	"163.0"	"--"	"9 月上旬"	"浅红"	"Yindu 11 hao"	"153"	"IND"	"184"	"大"	"380"	"10.9"	"裂"
"24"	"Malvaceae(棉葵科)"	"粤红1号"	"26.0"	"中"	"感"	"淡红"	"--"	"415.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月中旬"	"00000059"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.3"	"400.0"	"黄"	"45.6"	"1.80"	"9 月下旬"	"Hibiscus(木槿属)"	"43"	"I3F00023"	"--"	"淡红"	"CUB"	"深绿"	"262.0"	"红"	"1.30"	"230"	"红"	"60.5"	"150.0"	"--"	"10月上旬"	"浅红"	"Yuehong 1 hao"	"155"	"CUB"	"200"	"大"	"365"	"10.4"	"全"
"25"	"Malvaceae(棉葵科)"	"粤红3号"	"26.0"	"中"	"感"	"淡红"	"--"	"415.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月中旬"	"00000060"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"30.0"	"400.0"	"黄"	"47.7"	"1.80"	"9 月下旬"	"Hibiscus(木槿属)"	"43"	"I3F00024"	"--"	"淡红"	"CUB"	"深绿"	"264.0"	"红"	"1.30"	"230"	"红"	"60.5"	"150.0"	"--"	"10月上旬"	"浅红"	"Yuehong 2 hao"	"155"	"CUB"	"200"	"大"	"365"	"10.4"	"全"
"26"	"Malvaceae(棉葵科)"	"粤红5号"	"23.0"	"中"	"感"	"红"	"--"	"382.0"	"中国农科院麻类所"	"国外"	"10月上旬"	"04/26/88"	"11月下旬"	"00000061"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"红"	"25.2"	"400.0"	"黄"	"45.1"	"1.70"	"9 月上旬"	"Hibiscus(木槿属)"	"38"	"I3F00025"	"--"	"红"	"CUB"	"深绿"	"297.0"	"紫红"	"1.38"	"220"	"红"	"60.5"	"152.0"	"--"	"10月上旬"	"红"	"Yuehong 5 hao"	"155"	"CUB"	"200"	"大"	"370"	"9.9"	"全"
"27"	"Malvaceae(棉葵科)"	"C2032"	"24.0"	"中"	"感"	"淡红"	"--"	"387.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月中旬"	"00000062"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"26.8"	"400.0"	"黄"	"45.6"	"1.70"	"9 月下旬"	"Hibiscus(木槿属)"	"40"	"I3F00026"	"--"	"淡红"	"CUB"	"绿"	"307.0"	"红"	"1.44"	"230"	"淡红"	"60.0"	"162.0"	"--"	"10月上旬"	"浅红"	"C2032"	"155"	"USA"	"210"	"大"	"380"	"10.3"	"全"
"28"	"Malvaceae(棉葵科)"	"EV41"	"24.0"	"中"	"中"	"淡红"	"--"	"385.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月中旬"	"00000063"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"24.6"	"400.0"	"黄"	"47.9"	"1.60"	"9 月下旬"	"Hibiscus(木槿属)"	"40"	"I3F00027"	"--"	"淡红"	"USA"	"绿"	"307.0"	"红"	"1.33"	"230"	"淡红"	"60.0"	"161.0"	"--"	"10月上旬"	"浅红"	"EV41"	"155"	"USA"	"210"	"大"	"375"	"10.4"	"全"
"29"	"Malvaceae(棉葵科)"	"BG52-1"	"22.0"	"感"	"感"	"淡红"	"--"	"355.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月中旬"	"00000064"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"24.8"	"375.0"	"黄"	"44.4"	"1.60"	"9 月下旬"	"Hibiscus(木槿属)"	"37"	"I3F00076"	"--"	"淡红"	"USA"	"绿"	"298.0"	"红"	"1.30"	"230"	"淡红"	"59.5"	"148.0"	"--"	"10月上旬"	"浅红"	"BG52-1"	"155"	"MLI"	"190"	"中"	"360"	"10.4"	"裂"
"30"	"Malvaceae(棉葵科)"	"阿联红麻"	"--"	"感"	"感"	"红"	"--"	"345.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月上旬"	"00000065"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"红"	"43.9"	"300.0"	"黄"	"32.8"	"1.20"	"9 月下旬"	"Hibiscus(木槿属)"	"34"	"I3F00225"	"--"	"绿"	"EGY"	"深绿"	"298.0"	"紫红"	"1.00"	"230"	"红"	"--"	"136.0"	"--"	"10月上旬"	"红"	"Alian hongma"	"155"	"EGY"	"150"	"大"	"360"	"9.9"	"全"
"31"	"Malvaceae(棉葵科)"	"泰红763?"	"24.0"	"中"	"感"	"红"	"--"	"387.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月中旬"	"00000066"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"25.5"	"420.0"	"黄"	"44.4"	"2.00"	"9 月下旬"	"Hibiscus(木槿属)"	"40"	"I3F00028"	"--"	"淡红"	"TRA"	"绿"	"334.0"	"红"	"1.36"	"230"	"红"	"60.0"	"162.0"	"--"	"10月上旬"	"浅红"	"Taihong 763"	"155"	"TRA"	"210"	"中"	"390"	"10.3"	"裂"
"32"	"Malvaceae(棉葵科)"	"BG52-71?"	"26.0"	"中"	"感"	"淡红"	"--"	"415.0"	"广东经作所"	"国外"	"10月下旬"	"04/01/88"	"11月下旬"	"00000067"	"04/05/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"24.4"	"400.0"	"黄"	"40.0"	"1.70"	"9 月下旬"	"Hibiscus(木槿属)"	"43"	"I3F00029"	"--"	"淡红"	"USA"	"绿"	"267.0"	"红"	"1.25"	"230"	"红"	"60.5"	"179.0"	"--"	"10月上旬"	"浅红"	"BG52-71?"	"153"	"SDN"	"200"	"大"	"380"	"10.4"	"裂"
"33"	"Malvaceae(棉葵科)"	"塔什干"	"24.0"	"感"	"感"	"淡红"	"--"	"392.0"	"辽宁经作所"	"国外"	"8 月上旬"	"05/15/88"	"9 月下旬"	"00000068"	"05/20/88"	"Hibiscus cannabinus L.(红麻)"	"绿"	"27.0"	"150.0"	"黄"	"40.6"	"1.40"	"7 月中旬"	"Hibiscus(木槿属)"	"41"	"I3F00221"	"--"	"淡红"	"SUA"	"绿"	"284.0"	"红"	"1.35"	"135"	"淡红"	"58.5"	"145.0"	"--"	"8 月下旬"	"浅红"	"Tashengan"	"100"	"SUN"	"75"	"中"	"320"	"10.5"	"裂"
"34"	"Malvaceae(棉葵科)"	"C-2"	"22.0"	"感"	"感"	"淡红"	"--"	"390.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/88"	"12月中旬"	"00000090"	"05/01/88"	"Hibiscus cannabinus L.(红麻)"	"红"	"29.2"	"380.0"	"黄"	"45.6"	"1.80"	"9 月下旬"	"Hibiscus(木槿属)"	"38"	"I3F00034"	"--"	"淡红"	"BGO"	"绿"	"279.0"	"红"	"1.30"	"230"	"红"	"57.9"	"163.0"	"--"	"10月上旬"	"浅红"	"C-2"	"155"	"BGO"	"190"	"大"	"360"	"9.7"	"全"
"35"	"Malvaceae(棉葵科)"	"C-12"	"22.0"	"感"	"感"	"淡红"	"--"	"368.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/89"	"12月中旬"	"00000091"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"红"	"30.0"	"360.0"	"黄"	"46.0"	"1.60"	"9月下旬"	"Hibiscus(木槿属)"	"34"	"I3F00035"	"--"	"红"	"BGO"	"深绿"	"283.0"	"红"	"1.20"	"230"	"红"	"56.4"	"146.0"	"--"	"9月下旬"	"红"	"C-12"	"145"	"BGO"	"185"	"中"	"368"	"9.2"	"全"
"36"	"Malvaceae(棉葵科)"	"ACC"	"23.0"	"感"	"感"	"淡红"	"--"	"384.0"	"中国农科院麻类所"	"国外"	"11月上旬"	"04/26/89"	"12月中旬"	"00000092"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"红"	"31.0"	"365.0"	"黄"	"45.0"	"1.90"	"9月下旬"	"Hibiscus(木槿属)"	"40"	"I3F00091"	"--"	"淡红"	"BGO"	"绿"	"285.0"	"红"	"1.40"	"230"	"红"	"57.5"	"152.0"	"--"	"9月下旬"	"浅红"	"ACC"	"145"	"BGO"	"190"	"中"	"370"	"10.4"	"全"
"37"	"Malvaceae(棉葵科)"	"古巴6"	"25.0"	"中"	"中"	"淡红"	"--"	"420.0"	"中国农科院麻类所"	"国外"	"11月上旬"	"04/26/89"	"12月中旬"	"00000093"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"绿"	"35.0"	"380.0"	"黄"	"43.0"	"1.80"	"9月下旬"	"Hibiscus(木槿属)"	"45"	"I3F00092"	"--"	"淡红"	"CUB"	"绿"	"318.0"	"红"	"1.80"	"230"	"红"	"55.6"	"180.0"	"--"	"9月下旬"	"浅红"	"GU BA 6"	"145"	"CUB"	"195"	"大"	"380"	"10.7"	"全"
"38"	"Malvaceae(棉葵科)"	"古巴8"	"24.0"	"抗"	"中"	"淡红"	"--"	"400.0"	"中国农科院麻类所"	"国外"	"11月上旬"	"04/26/89"	"12月中旬"	"00000094"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"绿"	"33.0"	"380.0"	"黄"	"42.0"	"1.90"	"9月下旬"	"Hibiscus(木槿属)"	"42"	"I3F00093"	"--"	"淡红"	"CVB"	"绿"	"286.0"	"红"	"1.70"	"230"	"红"	"57.1"	"175.0"	"--"	"9月下旬"	"浅红"	"GU BA 8"	"145"	"CVB"	"195"	"大"	"380"	"10.5"	"全"
"39"	"Malvaceae(棉葵科)"	"古巴143"	"23.0"	"抗"	"感"	"淡红"	"--"	"380.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/89"	"12月中旬"	"00000095"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"绿"	"30.0"	"350.0"	"黄"	"43.0"	"1.60"	"9月中旬"	"Hibiscus(木槿属)"	"41"	"I3F00036"	"--"	"淡红"	"CVB"	"绿"	"277.0"	"红"	"1.40"	"230"	"淡红"	"56.1"	"170.0"	"--"	"9月下旬"	"浅红"	"GU BA 143"	"145"	"CVB"	"180"	"中"	"360"	"10.8"	"裂"
"40"	"Malvaceae(棉葵科)"	"古巴144"	"21.0"	"中"	"感"	"淡红"	"--"	"365.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/89"	"12月中旬"	"00000096"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"红"	"32.0"	"340.0"	"黄"	"46.0"	"1.50"	"9月中旬"	"Hibiscus(木槿属)"	"39"	"I3F00228"	"--"	"淡红"	"CVB"	"绿"	"283.0"	"紫红"	"1.30"	"230"	"淡红"	"53.8"	"152.0"	"--"	"9月下旬"	"浅红"	"GU BA 144"	"145"	"CVB"	"170"	"中"	"350"	"10.7"	"裂"
"41"	"Malvaceae(棉葵科)"	"古巴172"	"22.0"	"感"	"感"	"淡红"	"--"	"390.0"	"中国农科院麻类所"	"国外"	"10月上旬"	"04/26/89"	"11月下旬"	"00000097"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"红"	"33.0"	"335.0"	"黄"	"38.0"	"1.70"	"9月中旬"	"Hibiscus(木槿属)"	"39"	"I3F00094"	"--"	"淡红"	"CVB"	"绿"	"278.0"	"红"	"1.30"	"215"	"红"	"56.4"	"160.0"	"--"	"9月下旬"	"绿"	"GU BA 172"	"145"	"CVB"	"175"	"中"	"380"	"10.0"	"全"
"42"	"Malvaceae(棉葵科)"	"83-16"	"32.0"	"中"	"感"	"红"	"--"	"625.0"	"广东经作所"	"国外"	"9月中旬"	"04/01/89"	"10月下旬"	"00000098"	"04/05/89"	"Hibiscus cannabinus L.(红麻)"	"绿"	"28.0"	"333.0"	"黄"	"29.0"	"2.20"	"8月下旬"	"Hibiscus(木槿属)"	"53"	"I3F00095"	"--"	"红"	"EGY"	"绿"	"223.0"	"红"	"1.30"	"210"	"红"	"60.4"	"265.0"	"--"	"8月下旬"	"浅红"	"83-16"	"148"	"USA"	"200"	"中"	"389"	"8.5"	"全"
