"id"	"内质评价"	"可溶性糖％"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"图象"	"单果重评价"	"果实成熟期"	"成熟期评价"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"始果年龄"	"肉质"	"属名"	"可溶固形物"	"生育期D"	"生育期评价"	"统一编号"	"早果性评价"	"果形"	"维生素C"	"科名"	"可滴定酸％"
"1"	"极下"	"9.8"	"西伯利亚白点"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很小"	"7月下旬"	"早"	"酸甜"	"48.8"	"XI BO LI YA BAI DIAN"	"中"	"极差"	"黄绿"	"5"	"沙面"	"Malus(苹果属)"	"11.6"	"180"	"短"	"PGB0002"	"中"	"圆锥"	"3.4"	"Rosaceae(蔷薇科)"	"0.44"
"2"	"中上"	"8.5"	"小町"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"小"	"8月中旬"	"中早"	"甜酸"	"65.6"	"XIAO DING"	"多"	"好"	"浓红"	"5"	"松软"	"Malus(苹果属)"	"9.4"	"213"	"中"	"PGB0003"	"中"	"圆锥"	"3.2"	"Rosaceae(蔷薇科)"	"0.57"
"3"	"下"	"--"	"花奎"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月上旬"	"早"	"酸"	"138.7"	"HUA KUI"	"多"	"好"	"暗红"	"5"	"硬"	"Malus(苹果属)"	"11.5"	"172"	"短"	"PGB0004"	"中"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"4"	"中"	"--"	"桃苹"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"--"	"8月上旬"	"早"	"酸甜"	"109.0"	"TAO PING"	"中"	"好"	"淡红"	"6"	"沙面"	"Malus(苹果属)"	"10.8"	"172"	"短"	"PGB0005"	"中"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"5"	"中上"	"9.2"	"新红星(阿)"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"F001.jpg"	"较大"	"9月下旬"	"中晚"	"淡甜"	"160.2"	"XIN HONG XING (A )"	"多"	"极好"	"浓红"	"6"	"脆"	"Malus(苹果属)"	"11.3"	"215"	"中"	"PGB0008"	"中"	"圆锥"	"8.9"	"Rosaceae(蔷薇科)"	"0.20"
"6"	"下"	"9.6"	"紫玉"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很小"	"7月下旬"	"早"	"酸涩"	"45.6"	"ZI YU"	"中"	"差"	"水红"	"5"	"硬韧"	"Malus(苹果属)"	"11.9"	"172"	"短"	"PGB0009"	"中"	"圆锥"	"16.0"	"Rosaceae(蔷薇科)"	"0.97"
"7"	"中"	"8.9"	"春霞"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"129.1"	"CHUN XIA"	"中"	"中"	"红"	"5"	"沙面"	"Malus(苹果属)"	"10.1"	"208"	"中"	"PGB0010"	"中"	"圆锥"	"1.3"	"Rosaceae(蔷薇科)"	"0.55"
"8"	"中"	"8.3"	"卡蒂纳"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"酸"	"127.0"	"KA DI NA"	"多"	"中"	"水红"	"5"	"松脆"	"Malus(苹果属)"	"10.0"	"186"	"短"	"PGB0013"	"中"	"扁圆"	"3.9"	"Rosaceae(蔷薇科)"	"0.80"
"9"	"中上"	"9.0"	"六月红"	"从加拿大引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月中旬"	"早"	"甜酸"	"134.8"	"LIU YUE HONG"	"多"	"好"	"水红"	"5"	"松软"	"Malus(苹果属)"	"10.3"	"170"	"短"	"PGB0014"	"中"	"扁圆"	"3.6"	"Rosaceae(蔷薇科)"	"0.72"
"10"	"中"	"9.0"	"老笃"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"8月上旬"	"早"	"甜酸"	"158.8"	"LAO DU"	"中"	"好"	"黄绿"	"5"	"脆"	"Malus(苹果属)"	"10.4"	"170"	"短"	"PGB0015"	"中"	"圆锥"	"5.6"	"Rosaceae(蔷薇科)"	"0.88"
"11"	"中上"	"8.9"	"拉宝"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"8月下旬"	"中早"	"酸甜"	"167.5"	"LA BAO"	"多"	"好"	"淡紫红"	"5"	"松脆"	"Malus(苹果属)"	"10.3"	"214"	"中"	"PGB0016"	"中"	"扁圆"	"1.9"	"Rosaceae(蔷薇科)"	"0.61"
"12"	"中上"	"9.2"	"理想"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"7月下旬"	"早"	"酸甜"	"101.3"	"LI XIANG"	"中"	"中"	"红"	"6"	"脆致密"	"Malus(苹果属)"	"9.8"	"173"	"短"	"PGB0018"	"中"	"扁圆"	"4.6"	"Rosaceae(蔷薇科)"	"0.54"
"13"	"上"	"10.6"	"津轻"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月上旬"	"中"	"酸甜适度"	"168.5"	"JIN QING"	"很多"	"好"	"淡红"	"5"	"松脆"	"Malus(苹果属)"	"11.9"	"192"	"短"	"PGB0019"	"中"	"圆"	"6.6"	"Rosaceae(蔷薇科)"	"0.27"
"14"	"中"	"8.9"	"克鲁斯"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月下旬"	"早"	"酸"	"144.1"	"KE LU SI"	"多"	"中"	"浓红"	"4"	"松脆"	"Malus(苹果属)"	"10.3"	"181"	"短"	"PGB0020"	"早"	"圆锥"	"3.1"	"Rosaceae(蔷薇科)"	"1.24"
"15"	"下"	"--"	"斯帕坦"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月下旬"	"中早"	"酸"	"105.3"	"SI PA TAN"	"多"	"中"	"淡紫红"	"4"	"脆致密"	"Malus(苹果属)"	"9.0"	"192"	"短"	"PGB0022"	"早"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"16"	"中"	"8.2"	"红卡维"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月中旬"	"中"	"微酸"	"150.5"	"HONG KA WEI"	"中"	"中"	"暗红"	"4"	"硬脆"	"Malus(苹果属)"	"12.1"	"192"	"短"	"PGB0023"	"早"	"圆锥"	"15.1"	"Rosaceae(蔷薇科)"	"0.55"
"17"	"中"	"--"	"詹母斯格里夫"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月上旬"	"早"	"酸"	"138.7"	"ZHAN MU SI GE LI FU"	"多"	"好"	"水红"	"6"	"松脆"	"Malus(苹果属)"	"10.4"	"216"	"长"	"PGB0025"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"18"	"中"	"--"	"英格利"	"丹麦"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月中旬"	"中早"	"酸"	"107.3"	"YING GE LI"	"多"	"好"	"浓红"	"4"	"脆致密"	"Malus(苹果属)"	"11.0"	"208"	"中"	"PGB0026"	"早"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"19"	"中"	"--"	"宝斯库普"	"荷兰"	"三倍体"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月中旬"	"中"	"酸甜"	"136.0"	"BAO SI KU PU"	"多"	"中"	"黄绿"	"4"	"松脆"	"Malus(苹果属)"	"13.2"	"214"	"中"	"PGB0029"	"早"	"短圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"20"	"中上"	"9.1"	"考特兰德"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"146.0"	"KAO TE LAN DE"	"多"	"较好"	"淡红"	"4"	"松脆"	"Malus(苹果属)"	"10.8"	"184"	"短"	"PGB0033"	"早"	"扁圆"	"3.6"	"Rosaceae(蔷薇科)"	"0.88"
"21"	"中"	"8.9"	"多一露"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"8月上旬"	"早"	"淡甜"	"178.0"	"DUO YI LU"	"中"	"好"	"暗红"	"5"	"脆硬"	"Malus(苹果属)"	"10.7"	"214"	"中"	"PGB0035"	"中"	"圆锥"	"3.8"	"Rosaceae(蔷薇科)"	"0.23"
"22"	"中"	"--"	"丹顶"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月上旬"	"早"	"微酸"	"121.0"	"DAN DING"	"中"	"好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"9.7"	"209"	"中"	"PGB0036"	"中"	"圆柱"	"--"	"Rosaceae(蔷薇科)"	"--"
"23"	"下"	"8.0"	"白卡维"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月上旬"	"中"	"酸"	"166.7"	"BAI KA WEI"	"多"	"中"	"黄绿"	"4"	"硬"	"Malus(苹果属)"	"11.3"	"202"	"中"	"PGB0037"	"早"	"扁圆锥"	"3.9"	"Rosaceae(蔷薇科)"	"1.30"
"24"	"中"	"8.2"	"早生赤"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"7月中旬"	"早"	"甜酸"	"98.3"	"ZAO SHENG CHI"	"中"	"中"	"浓红"	"4"	"软面"	"Malus(苹果属)"	"9.9"	"204"	"中"	"PGB0038"	"早"	"扁圆"	"6.8"	"Rosaceae(蔷薇科)"	"1.41"
"25"	"中"	"--"	"巴斯美"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月中旬"	"中早"	"酸甜"	"83.2"	"BA SI MEI"	"中"	"中"	"暗红"	"4"	"松沙面"	"Malus(苹果属)"	"10.4"	"197"	"中"	"PGB0039"	"早"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"26"	"中上"	"8.4"	"礻口-26"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"淡甜"	"143.3"	"??????? KOU -26"	"中"	"中"	"淡红"	"6"	"脆致密"	"Malus(苹果属)"	"10.1"	"176"	"短"	"PGB0040"	"中"	"扁圆"	"3.6"	"Rosaceae(蔷薇科)"	"0.33"
"27"	"中上"	"--"	"早生旭"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月中旬"	"中早"	"酸甜适度"	"104.0"	"ZAO SHENG XU"	"多"	"中"	"淡紫红"	"5"	"松脆"	"Malus(苹果属)"	"11.0"	"208"	"中"	"PGB0043"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"28"	"中下"	"8.6"	"捷18"	"从捷克引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月下旬"	"中早"	"微酸"	"94.8"	"JIE 18"	"中"	"中"	"暗红"	"4"	"硬韧"	"Malus(苹果属)"	"11.0"	"209"	"中"	"PGB0044"	"早"	"圆锥"	"1.8"	"Rosaceae(蔷薇科)"	"0.72"
"29"	"中"	"9.6"	"德2"	"从德国引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月上旬"	"中"	"甜酸"	"80.5"	"DE 2"	"多"	"差"	"绿黄"	"5"	"脆"	"Malus(苹果属)"	"12.0"	"219"	"长"	"PGB0045"	"中"	"圆"	"13.4"	"Rosaceae(蔷薇科)"	"0.95"
"30"	"下"	"9.1"	"波21"	"从波兰引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"酸"	"119.3"	"BO 21"	"多"	"中"	"红"	"5"	"脆"	"Malus(苹果属)"	"9.8"	"206"	"中"	"PGB0046"	"中"	"圆锥"	"2.8"	"Rosaceae(蔷薇科)"	"0.98"
"31"	"中下"	"9.4"	"波5"	"从波兰引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月下旬"	"中早"	"酸"	"124.7"	"BO 5"	"多"	"中"	"淡红"	"5"	"松脆"	"Malus(苹果属)"	"11.6"	"182"	"短"	"PGB0047"	"中"	"扁圆"	"7.1"	"Rosaceae(蔷薇科)"	"0.63"
"32"	"中上"	"8.7"	"满堂红"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"甜酸有异味"	"119.2"	"MAN TANG HONG"	"多"	"好"	"暗红"	"5"	"脆致密"	"Malus(苹果属)"	"12.2"	"197"	"中"	"PGB0050"	"中"	"扁圆"	"3.3"	"Rosaceae(蔷薇科)"	"0.47"
"33"	"中上"	"9.8"	"旭"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月上旬"	"中"	"酸甜"	"169.9"	"XU"	"多"	"好"	"紫红"	"5"	"松脆"	"Malus(苹果属)"	"11.9"	"221"	"长"	"PGB0051"	"中"	"扁圆"	"1.9"	"Rosaceae(蔷薇科)"	"0.72"
"34"	"中上"	"9.8"	"甜旭"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月中旬"	"中"	"甜"	"168.0"	"TIAN XU"	"多"	"好"	"淡紫红"	"5"	"脆致密"	"Malus(苹果属)"	"12.1"	"194"	"短"	"PGB0052"	"中"	"扁圆"	"3.8"	"Rosaceae(蔷薇科)"	"0.10"
"35"	"中上"	"--"	"新红星(美)"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"大"	"9月下旬"	"中晚"	"淡甜"	"180.5"	"XIN HONG XING (MEI )"	"多"	"极好"	"浓红"	"6"	"松脆"	"Malus(苹果属)"	"10.9"	"--"	"--"	"PGB0055"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"36"	"中"	"8.2"	"黄姑娘"	"从德国引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月中旬"	"早"	"微酸"	"126.7"	"HUANG GU NIANG"	"多"	"中"	"淡绿"	"5"	"松脆"	"Malus(苹果属)"	"10.1"	"176"	"短"	"PGB0056"	"中"	"扁圆"	"7.3"	"Rosaceae(蔷薇科)"	"0.81"
"37"	"中上"	"8.9"	"红玉"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月下旬"	"中晚"	"酸甜"	"108.8"	"HONG YU"	"多"	"好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"12.7"	"207"	"中"	"PGB0057"	"中"	"圆"	"5.3"	"Rosaceae(蔷薇科)"	"0.76"
"38"	"中"	"--"	"德14"	"从德国引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月下旬"	"早"	"酸"	"111.5"	"DE 14"	"中"	"中"	"鲜红"	"5"	"松脆"	"Malus(苹果属)"	"11.4"	"188"	"短"	"PGB0058"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"39"	"中上"	"8.6"	"祝光"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"124.5"	"ZHU GUANG"	"多"	"好"	"绿黄"	"5"	"松脆"	"Malus(苹果属)"	"10.0"	"212"	"中"	"PGB0060"	"中"	"圆"	"1.8"	"Rosaceae(蔷薇科)"	"0.91"
"40"	"中"	"9.5"	"金花"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"7月下旬"	"早"	"酸甜涩"	"95.0"	"JIN HUA"	"中"	"中"	"浓红"	"4"	"致密"	"Malus(苹果属)"	"10.9"	"200"	"中"	"PGB0062"	"早"	"长圆锥"	"2.6"	"Rosaceae(蔷薇科)"	"0.44"
"41"	"中上"	"8.0"	"红祝"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"8月中旬"	"中早"	"甜酸"	"172.2"	"HONG ZHU"	"多"	"好"	"淡红"	"4"	"松脆"	"Malus(苹果属)"	"10.0"	"216"	"长"	"PGB0063"	"早"	"圆锥"	"1.7"	"Rosaceae(蔷薇科)"	"0.46"
"42"	"中上"	"7.9"	"黄魁"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"7月中旬"	"早"	"酸"	"97.5"	"HUANG KUI"	"多"	"好"	"黄绿"	"5"	"松脆"	"Malus(苹果属)"	"8.9"	"186"	"短"	"PGB0065"	"中"	"扁圆锥"	"8.7"	"Rosaceae(蔷薇科)"	"1.09"
"43"	"中"	"--"	"美尔巴"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"129.0"	"MEI ER BA"	"多"	"中"	"淡紫红"	"5"	"韧致密"	"Malus(苹果属)"	"10.5"	"192"	"短"	"PGB0068"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"44"	"中"	"10.0"	"惠"	"日本"	"丰产"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"甜酸"	"120.0"	"HUI"	"多"	"好"	"红"	"6"	"松脆"	"Malus(苹果属)"	"11.6"	"201"	"中"	"PGB0069"	"中"	"圆"	"5.3"	"Rosaceae(蔷薇科)"	"0.60"
"45"	"中上"	"11.4"	"蜜金"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"酸甜"	"165.3"	"MI JIN"	"多"	"中"	"黄绿"	"5"	"松脆"	"Malus(苹果属)"	"12.0"	"206"	"中"	"PGB0070"	"中"	"阔圆锥"	"3.3"	"Rosaceae(蔷薇科)"	"0.70"
"46"	"中上"	"--"	"新红星(荷)"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"淡甜"	"177.5"	"XIN HONG XING (HE )"	"多"	"极好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"11.0"	"171"	"短"	"PGB0071"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"47"	"中上"	"11.2"	"斯塔克金矮生"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"大"	"9月下旬"	"中晚"	"酸甜适度"	"190.7"	"SI TA KE JIN AI SHENG"	"多"	"中"	"黄绿"	"5"	"松脆"	"Malus(苹果属)"	"13.3"	"176"	"短"	"PGB0073"	"中"	"阔圆锥"	"4.3"	"Rosaceae(蔷薇科)"	"0.48"
"48"	"中上"	"10.6"	"金矮生"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜酸"	"171.8"	"JIN AI SHENG"	"多"	"中"	"黄绿"	"5"	"松脆"	"Malus(苹果属)"	"12.7"	"190"	"短"	"PGB0074"	"中"	"圆锥"	"3.4"	"Rosaceae(蔷薇科)"	"0.32"
"49"	"中"	"--"	"青龙"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月上旬"	"中晚"	"甜酸"	"124.7"	"QING LONG"	"中"	"好"	"暗红"	"8"	"疏松"	"Malus(苹果属)"	"12.6"	"207"	"中"	"PGB0077"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"50"	"中"	"11.8"	"Jabuka.G.D"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"甜酸"	"140.9"	"Jabuka.G.D"	"多"	"中"	"黄绿"	"5"	"松脆"	"Malus(苹果属)"	"13.1"	"170"	"短"	"PGB0078"	"中"	"圆锥"	"5.9"	"Rosaceae(蔷薇科)"	"0.43"
"51"	"中"	"10.0"	"紫倭锦"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月上旬"	"中晚"	"甜酸"	"151.4"	"ZI WO JIN"	"多"	"中"	"暗红"	"5"	"脆"	"Malus(苹果属)"	"13.3"	"229"	"长"	"PGB0079"	"中"	"圆锥"	"4.3"	"Rosaceae(蔷薇科)"	"0.44"
"52"	"下"	"9.4"	"紫香蕉"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月上旬"	"早"	"酸"	"109.7"	"ZI XIANG JIAO"	"多"	"好"	"淡紫红"	"5"	"脆硬"	"Malus(苹果属)"	"10.4"	"176"	"短"	"PGB0080"	"中"	"长圆柱"	"2.7"	"Rosaceae(蔷薇科)"	"0.69"
"53"	"中上"	"8.9"	"V.贝拉"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"7月中旬"	"早"	"酸甜适度"	"103.2"	"V.BEI LA"	"多"	"好"	"紫红"	"5"	"松脆"	"Malus(苹果属)"	"12.4"	"222"	"长"	"PGB0086"	"中"	"扁圆"	"4.1"	"Rosaceae(蔷薇科)"	"0.84"
"54"	"下"	"--"	"斑克罗夫特"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"极酸"	"142.3"	"BAN KE LUO FU TE"	"中"	"中"	"暗红"	"5"	"致密"	"Malus(苹果属)"	"11.3"	"225"	"长"	"PGB0089"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"55"	"中"	"--"	"毕斯马克"	"新西兰"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"微酸"	"119.3"	"BI SI MA KE"	"中"	"中"	"暗红"	"5"	"疏松"	"Malus(苹果属)"	"11.0"	"188"	"短"	"PGB0090"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"56"	"中上"	"--"	"米勒矮生"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"133.7"	"MI LE AI SHENG"	"多"	"好"	"淡黄"	"5"	"脆致密"	"Malus(苹果属)"	"11.7"	"213"	"中"	"PGB0091"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"57"	"中上"	"10.4"	"矮威尔"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"淡甜"	"171.7"	"AI WEI ER"	"多"	"好"	"浓红"	"5"	"疏松"	"Malus(苹果属)"	"12.6"	"222"	"长"	"PGB0092"	"中"	"阔圆锥"	"4.8"	"Rosaceae(蔷薇科)"	"0.17"
"58"	"中上"	"9.8"	"阿伊瓦尼亚"	"保加利亚"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月上旬"	"中"	"酸甜"	"95.2"	"A YI WA NI YA"	"中"	"好"	"淡红"	"5"	"脆"	"Malus(苹果属)"	"12.5"	"215"	"中"	"PGB0093"	"中"	"圆"	"3.6"	"Rosaceae(蔷薇科)"	"0.19"
"59"	"中下"	"8.9"	"斯普兰德"	"新西兰"	"果形高桩"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"大"	"9月中旬"	"中"	"酸"	"178.5"	"SI PU LAN DE"	"多"	"中"	"淡红"	"5"	"脆"	"Malus(苹果属)"	"13.5"	"223"	"长"	"PGB0095"	"中"	"扁圆锥"	"13.4"	"Rosaceae(蔷薇科)"	"1.79"
"60"	"上"	"--"	"阿兹威尔矮生"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"酸甜"	"178.0"	"A ZI WEI ER AI SHENG"	"多"	"好"	"浓红"	"6"	"松脆"	"Malus(苹果属)"	"11.7"	"222"	"长"	"PGB0096"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"61"	"中"	"9.6"	"红绞"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月下旬"	"中晚"	"甜酸"	"98.1"	"HONG JIAO"	"多"	"好"	"暗红"	"5"	"松脆"	"Malus(苹果属)"	"12.3"	"222"	"长"	"PGB0101"	"中"	"圆锥"	"4.6"	"Rosaceae(蔷薇科)"	"0.64"
"62"	"中"	"9.0"	"菊形"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月上旬"	"中晚"	"酸甜"	"152.0"	"JU XING"	"中"	"好"	"红"	"5"	"脆硬"	"Malus(苹果属)"	"11.9"	"216"	"长"	"PGB0103"	"中"	"扁圆"	"6.6"	"Rosaceae(蔷薇科)"	"0.42"
