"id"	"成熟期"	"科名"	"种子含油率"	"产地或来源"	"库编号"	"单株果球数"	"千粒重"	"壳型"	"统一编号"	"出苗期"	"省"	"亚油酸"	"皮壳率"	"译名"	"叶缘"	"品种名称"	"苞片有无刺"	"播种期"	"学名"	"单位编号"	"保存单位"	"属名"	"抗逆性"	"叶片有无刺"	"选育方法"	"株高"	"花色"
"1"	"8/12"	"Compositae(菊科)"	"22.90"	"日本"	"I4E00103"	"29"	"42.0"	"厚壳"	"WHH00001"	"4/20"	"国外"	"--"	"51.2"	"RI BEN HONG HUA"	"锯齿"	"日本红花"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"870064"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"多"	"引种"	"78.0"	"桔红"
"2"	"8/12"	"Compositae(菊科)"	"24.60"	"美国"	"I4E00104"	"13"	"40.0"	"厚壳"	"WHH00002"	"4/20"	"国外"	"--"	"51.3"	"MEI GUO HONG HUA 1"	"锯齿"	"美国红花1"	"少"	"4/6"	"Carthamus tinctorius L.(红花)"	"870065"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"少"	"引种"	"89.0"	"红"
"3"	"8/12"	"Compositae(菊科)"	"25.80"	"叙利亚"	"I4E00105"	"19"	"54.0"	"厚壳"	"WHH00003"	"4/20"	"国外"	"--"	"45.3"	"BO QI HUA LE"	"锯齿"	"波期花勒"	"少"	"4/6"	"Carthamus tinctorius L.(红花)"	"870066"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"少"	"引种"	"81.0"	"红"
"4"	"8/15"	"Compositae(菊科)"	"26.00"	"美国"	"I4E00106"	"27"	"26.0"	"厚壳"	"WHH00004"	"4/20"	"国外"	"--"	"42.7"	"MEI GUO HONG HUA 2"	"锯齿"	"美国红花2"	"无"	"4/6"	"Carthamus tinctorius L.(红花)"	"870067"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"100.0"	"红"
"5"	"8/31"	"Compositae(菊科)"	"41.40"	"美国"	"I4E00111"	"7"	"38.0"	"条纹"	"WHH00005"	"5/4"	"国外"	"--"	"35.7"	"S-317"	"锯齿"	"S-317"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-005"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"57.0"	"黄"
"6"	"9/21"	"Compositae(菊科)"	"36.10"	"美国"	"I4E00112"	"12"	"45.0"	"条纹"	"WHH00006"	"5/8"	"国外"	"--"	"35.6"	"KANG BING TIAO WEN KE"	"锯齿"	"抗病条纹壳"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-006"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"65.0"	"桔红"
"7"	"8/30"	"Compositae(菊科)"	"38.00"	"美国"	"I4E00113"	"8"	"44.0"	"薄壳"	"WHH00007"	"5/5"	"国外"	"--"	"40.7"	"6 HAO"	"锯齿"	"6号"	"少"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-007"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"少"	"引种"	"77.5"	"桔黄"
"8"	"8/25"	"Compositae(菊科)"	"43.00"	"美国"	"I4E00114"	"16"	"27.0"	"薄壳"	"WHH00008"	"5/8"	"国外"	"--"	"29.2"	"SHAO KE 4 HAO"	"锯齿"	"少壳4号"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-008"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"50.3"	"桔黄"
"9"	"8/24"	"Compositae(菊科)"	"36.10"	"美国"	"I4E00115"	"9"	"47.0"	"薄壳"	"WHH00009"	"5/6"	"国外"	"--"	"38.2"	"JI NA"	"锯齿"	"吉纳"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-009"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"54.8"	"桔黄"
"10"	"8/29"	"Compositae(菊科)"	"38.80"	"美国"	"I4E00116"	"14"	"52.0"	"条纹"	"WHH00010"	"5/6"	"国外"	"--"	"40.0"	"KINO-76"	"锯齿"	"KINO-76"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-010"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"61.7"	"桔黄"
"11"	"9/2"	"Compositae(菊科)"	"35.70"	"美国"	"I4E00117"	"11"	"44.0"	"条纹"	"WHH00011"	"5/8"	"国外"	"--"	"40.0"	"FRIO"	"锯齿"	"FRIO"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-011"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"68.7"	"黄"
"12"	"9/2"	"Compositae(菊科)"	"36.60"	"美国"	"I4E00118"	"20"	"43.0"	"薄壳"	"WHH00012"	"5/8"	"国外"	"--"	"38.5"	"YOU TE"	"锯齿"	"尤特"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-012"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"71.0"	"桔红"
"13"	"8/30"	"Compositae(菊科)"	"35.80"	"美国"	"I4E00119"	"11"	"45.0"	"薄壳"	"WHH00013"	"5/6"	"国外"	"--"	"40.7"	"DA BIAN QIU"	"锯齿"	"大扁球"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-013"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"69.8"	"桔红"
"14"	"8/28"	"Compositae(菊科)"	"45.20"	"美国"	"I4E00120"	"11"	"46.0"	"条纹"	"WHH00014"	"5/4"	"国外"	"--"	"32.6"	"S-400"	"锯齿"	"S-400"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-014"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"50.6"	"黄"
"15"	"8/29"	"Compositae(菊科)"	"38.00"	"美国"	"I4E00121"	"9"	"50.0"	"薄壳"	"WHH00015"	"5/8"	"国外"	"--"	"38.4"	"UC-1"	"锯齿"	"UC-1"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-015"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"61.8"	"黄"
"16"	"8/28"	"Compositae(菊科)"	"43.20"	"美国"	"I4E00122"	"10"	"36.0"	"条纹"	"WHH00016"	"5/4"	"国外"	"--"	"31.3"	"S-541"	"锯齿"	"S-541"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-016"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"52.7"	"桔黄"
"17"	"9/3"	"Compositae(菊科)"	"37.70"	"美国"	"I4E00123"	"11"	"38.0"	"薄壳"	"WHH00017"	"5/6"	"国外"	"--"	"40.0"	"MO XI GE AI"	"锯齿"	"墨西哥矮"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-017"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"48.2"	"桔黄"
"18"	"8/30"	"Compositae(菊科)"	"41.50"	"美国"	"I4E00124"	"10"	"52.0"	"条纹"	"WHH00018"	"5/8"	"国外"	"--"	"38.0"	"ROYAL-71"	"锯齿"	"ROYAL-71"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-018"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"58.7"	"黄"
"19"	"8/30"	"Compositae(菊科)"	"44.40"	"美国"	"I4E00125"	"12"	"45.0"	"薄壳"	"WHH00019"	"5/7"	"国外"	"--"	"31.6"	"V-SF-CEN-1550"	"锯齿"	"V-SF-CEN-1550"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-019"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"63.1"	"桔黄"
"20"	"9/2"	"Compositae(菊科)"	"31.30"	"美国"	"I4E00126"	"14"	"41.0"	"薄壳"	"WHH00020"	"5/6"	"国外"	"--"	"30.8"	"LI DE"	"锯齿"	"李德"	"少"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-020"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"少"	"引种"	"62.7"	"桔红"
"21"	"8/29"	"Compositae(菊科)"	"41.30"	"美国"	"I4E00127"	"16"	"34.0"	"薄壳"	"WHH00021"	"5/6"	"国外"	"--"	"32.5"	"BU FEN KE"	"锯齿"	"部分壳"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-021"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"53.0"	"桔黄"
"22"	"8/28"	"Compositae(菊科)"	"37.40"	"美国"	"I4E00128"	"12"	"36.0"	"薄壳"	"WHH00022"	"5/8"	"国外"	"--"	"34.4"	"B-54"	"锯齿"	"B-54"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-022"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"63.0"	"桔红"
"23"	"8/28"	"Compositae(菊科)"	"42.70"	"美国"	"I4E00129"	"17"	"32.0"	"薄壳"	"WHH00023"	"5/7"	"国外"	"--"	"39.5"	"SHAO KE 2 HAO"	"锯齿"	"少壳2号"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-023"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"54.4"	"桔黄"
"24"	"8/26"	"Compositae(菊科)"	"44.20"	"美国"	"I4E00130"	"11"	"28.0"	"薄壳"	"WHH00024"	"5/6"	"国外"	"--"	"29.8"	"SHAO KE 3 HAO"	"锯齿"	"少壳3号"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-024"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"53.9"	"黄"
"25"	"8/31"	"Compositae(菊科)"	"37.40"	"美国"	"I4E00131"	"11"	"37.0"	"薄壳"	"WHH00025"	"5/5"	"国外"	"--"	"34.0"	"S-208"	"锯齿"	"S-208"	"无"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-025"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"无"	"引种"	"60.6"	"黄"
"26"	"9/1"	"Compositae(菊科)"	"27.80"	"美国"	"I4E00132"	"16"	"41.0"	"厚壳"	"WHH00026"	"5/8"	"国外"	"--"	"50.0"	"UC-26"	"锯齿"	"UC-26"	"无"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-026"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"无"	"引种"	"67.7"	"红"
"27"	"8/28"	"Compositae(菊科)"	"33.30"	"美国"	"I4E00133"	"14"	"43.0"	"薄壳"	"WHH00027"	"5/7"	"国外"	"--"	"34.5"	"YOU SUAN LI DE"	"锯齿"	"油酸李德"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-027"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"85.0"	"桔红"
"28"	"8/28"	"Compositae(菊科)"	"41.00"	"美国"	"I4E00134"	"18"	"43.0"	"薄壳"	"WHH00028"	"5/7"	"国外"	"--"	"37.8"	"14-S5"	"锯齿"	"14-S5"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-028"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"57.9"	"黄"
"29"	"8/27"	"Compositae(菊科)"	"42.00"	"美国"	"I4E00135"	"20"	"32.0"	"薄壳"	"WHH00029"	"5/9"	"国外"	"--"	"30.2"	"AC-1"	"锯齿"	"AC-1"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-029"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"52.4"	"桔红"
"30"	"8/31"	"Compositae(菊科)"	"37.50"	"美国"	"I4E00136"	"7"	"41.0"	"薄壳"	"WHH00030"	"5/6"	"国外"	"--"	"40.0"	"FU DA QIU"	"锯齿"	"夫大球"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-030"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"56.8"	"黄"
"31"	"9/2"	"Compositae(菊科)"	"40.80"	"美国"	"I4E00137"	"8"	"44.0"	"薄壳"	"WHH00031"	"5/8"	"国外"	"--"	"40.6"	"YOU DA QIU"	"锯齿"	"尤大球"	"多"	"4/27"	"Carthamus tinctorius L.(红花)"	"83-031"	"新疆塔城农技中心"	"Carthamus(红花属)"	"--"	"多"	"引种"	"56.2"	"黄"
"32"	"7/16"	"Compositae(菊科)"	"41.90"	"美国"	"I4E00154"	"11"	"33.0"	"薄壳"	"WHH00039"	"3/30"	"国外"	"82.10"	"27.1"	"th-5"	"锯齿"	"th-5"	"多"	"3/12"	"Carthamus tinctorius L.(红花)"	"37"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"少"	"引种"	"71.6"	"黄"
"33"	"7/19"	"Compositae(菊科)"	"43.00"	"美国"	"I4E00155"	"18"	"32.0"	"薄壳"	"WHH00040"	"4/1"	"国外"	"--"	"24.5"	"th-10"	"锯齿"	"th-10"	"多"	"3/11"	"Carthamus tinctorius L.(红花)"	"38"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"多"	"引种"	"74.8"	"黄"
"34"	"7/19"	"Compositae(菊科)"	"26.80"	"美国"	"I4E00156"	"22"	"48.0"	"条纹"	"WHH00041"	"4/2"	"国外"	"--"	"51.4"	"Ria"	"锯齿"	"Ria"	"多"	"3/11"	"Carthamus tinctorius L.(红花)"	"133"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"多"	"引种"	"89.6"	"黄"
"35"	"7/16"	"Compositae(菊科)"	"25.30"	"墨西哥"	"I4E00157"	"12"	"37.0"	"普通"	"WHH00042"	"4/2"	"国外"	"--"	"34.9"	"MO XI GE"	"锯齿"	"墨西哥"	"多"	"3/10"	"Carthamus tinctorius L.(红花)"	"61"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"少"	"引种"	"91.6"	"黄"
"36"	"7/21"	"Compositae(菊科)"	"23.60"	"美国"	"I4E00158"	"16"	"35.0"	"条纹"	"WHH00043"	"4/5"	"国外"	"--"	"41.8"	"Ria-70"	"锯齿"	"Ria-70"	"多"	"3/10"	"Carthamus tinctorius L.(红花)"	"170"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"少"	"引种"	"88.2"	"黄"
"37"	"7/19"	"Compositae(菊科)"	"36.10"	"美国"	"I4E00159"	"10"	"43.0"	"条纹"	"WHH00044"	"4/1"	"国外"	"--"	"46.7"	"Ria-71"	"锯齿"	"Ria-71"	"多"	"3/10"	"Carthamus tinctorius L.(红花)"	"148"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"少"	"引种"	"87.1"	"黄"
"38"	"7/18"	"Compositae(菊科)"	"41.80"	"美国"	"I4E00160"	"12"	"40.0"	"普通"	"WHH00045"	"4/1"	"国外"	"--"	"33.4"	"RH-1"	"锯齿"	"RH-1"	"多"	"3/10"	"Carthamus tinctorius L.(红花)"	"29"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"多"	"引种"	"75.0"	"黄"
"39"	"7/19"	"Compositae(菊科)"	"30.70"	"墨西哥"	"I4E00161"	"8"	"43.0"	"普通"	"WHH00046"	"4/1"	"国外"	"--"	"42.2"	"MO XI GE -5"	"锯齿"	"墨西哥-5"	"多"	"3/10"	"Carthamus tinctorius L.(红花)"	"5"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"少"	"引种"	"72.4"	"黄"
"40"	"7/18"	"Compositae(菊科)"	"34.60"	"美国"	"I4E00162"	"8"	"34.0"	"条纹"	"WHH00047"	"4/1"	"国外"	"--"	"37.4"	"Rayal"	"锯齿"	"Rayal"	"多"	"3/15"	"Carthamus tinctorius L.(红花)"	"132"	"中国科学院植物园"	"Carthamus(红花属)"	"--"	"少"	"引种"	"81.0"	"淡黄"
"41"	"8/23"	"Compositae(菊科)"	"26.50"	"墨西哥"	"I4E00143"	"28"	"34.0"	"普通"	"WHH00048"	"5/11"	"国外"	"--"	"51.7"	"you-79-1"	"全缘"	"you-79-1"	"多"	"4/22"	"Carthamus tinctorius L.(红花)"	"Sa-6"	"内蒙古农牧学院"	"Carthamus(红花属)"	"--"	"少"	"引种"	"81.5"	"桔红"
"42"	"8/7"	"Compositae(菊科)"	"28.30"	"叙利亚"	"I4E00169"	"15"	"44.0"	"普通"	"WHH00049"	"4/14"	"国外"	"--"	"46.7"	"A SI HUA LE"	"全缘"	"阿斯花勒"	"无"	"3/30"	"Carthamus tinctorius L.(红花)"	"H-37"	"宁夏农科院作物所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"121.5"	"橙红"
"43"	"8/5"	"Compositae(菊科)"	"24.40"	"美国"	"I4E00170"	"12"	"38.0"	"普通"	"WHH00050"	"4/14"	"国外"	"--"	"49.0"	"HONG HUA YOU CAI ZI"	"全缘"	"红花油菜籽"	"无"	"3/30"	"Carthamus tinctorius L.(红花)"	"H-38"	"宁夏农科院作物所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"113.0"	"桔红"
"44"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00203"	"40"	"36.0"	"条纹"	"WHH00051"	"5/12"	"国外"	"--"	"39.0"	"Ｆｏ2"	"锯齿"	"Ｆｏ2"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0001"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"少"	"引种"	"67.0"	"桔红"
"45"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"--"	"22"	"30.0"	"条纹"	"WHH00052"	"5/12"	"国外"	"--"	"40.5"	"ＦＡ1"	"锯齿"	"ＦＡ1"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0002"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"75.0"	"红"
"46"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00218"	"9"	"38.0"	"普通"	"WHH00053"	"5/12"	"国外"	"--"	"54.0"	"N-1"	"锯齿"	"N-1"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0003"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"45.0"	"桔黄"
"47"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00219"	"12"	"39.0"	"普通"	"WHH00054"	"5/12"	"国外"	"--"	"63.0"	"N-5"	"锯齿"	"N-5"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0004"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"51.0"	"桔黄"
"48"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"--"	"16"	"51.0"	"普通"	"WHH00055"	"5/12"	"国外"	"--"	"--"	"N-7"	"锯齿"	"N-7"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0005"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"38.0"	"淡黄"
"49"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00204"	"12"	"65.0"	"普通"	"WHH00056"	"5/12"	"国外"	"--"	"56.0"	"N-97-4051"	"锯齿"	"N-97-4051"	"少"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0006"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"64.0"	"桔红"
"50"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00205"	"18"	"45.0"	"普通"	"WHH00057"	"5/12"	"国外"	"--"	"51.0"	"N-133"	"锯齿"	"N-133"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0007"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"76.0"	"深红"
"51"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00206"	"11"	"35.0"	"普通"	"WHH00058"	"5/12"	"国外"	"--"	"66.5"	"N-144"	"锯齿"	"N-144"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0008"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"43.0"	"桔黄"
"52"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00207"	"13"	"47.0"	"普通"	"WHH00059"	"5/12"	"国外"	"--"	"57.0"	"N-147"	"锯齿"	"N-147"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0009"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"52.0"	"桔红"
"53"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"--"	"26"	"52.0"	"普通"	"WHH00060"	"5/12"	"国外"	"--"	"65.0"	"N-331"	"锯齿"	"N-331"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0010"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"49.0"	"桔红"
"54"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00220"	"14"	"64.0"	"普通"	"WHH00061"	"5/12"	"国外"	"--"	"58.0"	"N-673"	"锯齿"	"N-673"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0011"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"47.0"	"桔黄"
"55"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"--"	"15"	"50.8"	"条纹"	"WHH00062"	"5/12"	"国外"	"--"	"55.0"	"N-777"	"锯齿"	"N-777"	"少"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0012"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"48.0"	"桔红"
"56"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00208"	"21"	"46.0"	"普通"	"WHH00063"	"5/12"	"国外"	"--"	"49.0"	"N-1527"	"锯齿"	"N-1527"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0013"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"57.0"	"桔黄"
"57"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00221"	"10"	"44.0"	"普通"	"WHH00064"	"5/12"	"国外"	"--"	"54.0"	"Ns-1016"	"锯齿"	"Ns-1016"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0014"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"少"	"引种"	"55.0"	"桔黄"
"58"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00209"	"8"	"37.0"	"普通"	"WHH00065"	"5/12"	"国外"	"--"	"49.0"	"N-2004"	"锯齿"	"N-2004"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0015"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"少"	"引种"	"49.0"	"黄"
"59"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00222"	"87"	"42.0"	"普通"	"WHH00066"	"5/12"	"国外"	"--"	"57.0"	"NDS-1"	"锯齿"	"NDS-1"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0016"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"46.0"	"淡黄"
"60"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"--"	"15"	"41.0"	"普通"	"WHH00067"	"5/12"	"国外"	"--"	"56.0"	"NRS-209"	"锯齿"	"NRS-209"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0017"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"54.0"	"桔黄"
"61"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00210"	"12"	"61.0"	"普通"	"WHH00068"	"5/12"	"国外"	"--"	"58.0"	"A-1"	"锯齿"	"A-1"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0018"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"69.0"	"桔红"
"62"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00223"	"25"	"41.0"	"普通"	"WHH00069"	"5/12"	"国外"	"--"	"65.0"	"Bnima"	"锯齿"	"Bnima"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0019"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"57.0"	"淡黄"
"63"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"--"	"21"	"47.0"	"普通"	"WHH00070"	"5/12"	"国外"	"--"	"56.0"	"Tara"	"锯齿"	"Tara"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0020"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"48.0"	"桔红"
"64"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00211"	"15"	"46.0"	"普通"	"WHH00071"	"5/12"	"国外"	"--"	"53.0"	"Humaya65"	"锯齿"	"Humaya65"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0021"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"71.0"	"桔黄"
"65"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00212"	"13"	"38.0"	"条纹"	"WHH00072"	"5/12"	"国外"	"--"	"43.0"	"Aceteira"	"锯齿"	"Aceteira"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0022"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"68.0"	"桔红"
"66"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00224"	"22"	"44.0"	"普通"	"WHH00073"	"5/12"	"国外"	"--"	"45.0"	"Kino76"	"锯齿"	"Kino76"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0023"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"51.0"	"桔黄"
"67"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00213"	"10"	"43.0"	"普通"	"WHH00074"	"5/12"	"国外"	"--"	"53.0"	"Noroeste VF84-20VF75-13-1-3-1"	"锯齿"	"Noroeste VF84-20VF75-13-1-3-1"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0024"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"42.0"	"桔黄"
"68"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00214"	"25"	"59.0"	"条纹"	"WHH00075"	"5/12"	"国外"	"--"	"50.0"	"Mante81"	"锯齿"	"Mante81"	"无"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0025"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"66.0"	"桔黄"
"69"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"--"	"20"	"42.0"	"条纹"	"WHH00076"	"5/12"	"国外"	"--"	"44.0"	"ALAMEDA"	"锯齿"	"ALAMEDA"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0026"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"39.0"	"桔黄"
"70"	"8/30"	"Compositae(菊科)"	"--"	"FAO引入"	"I4E00215"	"9"	"35.0"	"条纹"	"WHH00077"	"5/12"	"国外"	"--"	"42.0"	"RINCONADA"	"锯齿"	"RINCONADA"	"有"	"4/28"	"Carthamus tinctorius L.(红花)"	"YS-0027"	"中国农科院油料所"	"Carthamus(红花属)"	"--"	"有"	"引种"	"59.0"	"桔黄"
